3.137564030365191936e-01	1.589388338507494725e-01	2.547291120132435527e-01	3.062260752701141397e-01	4.791933909024552740e-01
3.434203113830469611e-01	9.978433031696289923e-01	4.755518762362076490e-02	1.066236903393916746e-01	1.857251499896808156e-01
7.094144235319868042e-01	3.696226519331490268e-01	6.003739696616642307e-01	5.836192135881368426e-02	4.462268297195476352e-01
4.223999081045328730e-01	1.963856773761383234e-01	1.182231662672209582e-01	3.869423840126944292e-01	9.000441322010968026e-01
6.049660172486639453e-01	2.017619880661017939e-01	1.747425895392483719e-01	3.279379128439035007e-01	7.904364844679530044e-01
8.435098534185568875e-01	2.952212254894968080e-01	6.258269375390156375e-01	1.570166723885395577e-01	1.834558873991787298e-01
9.141688831403316229e-04	2.193831902976747239e-01	7.490123820215681683e-01	8.666025287739745897e-01	1.684410174091992562e-01
3.745878868811257645e-01	2.466216002694485709e-01	1.133659734178870115e-01	5.394658645072283321e-01	4.525290474537428942e-01
9.310370009254443913e-01	5.895283069556966904e-02	2.728746841595613981e-01	7.120531540299918083e-01	4.213895057419069223e-01
7.278846572554332761e-01	4.211320054100873289e-01	8.703012818941979756e-02	8.175229146140483572e-01	2.381401876283704144e-01
9.217290723868416524e-01	9.114892630526671979e-03	4.844953985411269981e-01	8.485062635811511100e-01	6.904461507331198789e-01
8.225136309445427729e-01	4.146072578834669731e-01	7.692773554333346420e-01	9.892458593007384948e-01	4.927955827903451880e-02
4.366276944288037809e-01	4.537401387896133897e-01	6.421839746240296520e-01	3.685077593307584110e-01	9.465449304546170728e-01
7.356009304987003450e-01	5.870059417794014633e-01	2.681140880989560937e-01	1.356258197287065759e-01	6.952541945950017066e-01
4.244665366360936831e-01	9.423773495465904704e-01	8.612673899548137779e-01	8.543206141149967126e-01	9.825480113070772514e-01
9.381868780905555649e-02	9.953115143528955544e-01	4.635283412914985579e-01	2.748030506633267755e-01	8.717264334411518600e-01
1.250530420992964631e-01	4.797270701311263652e-01	9.653251787939439721e-01	3.278563509710339385e-01	9.124031971117552153e-02
